10000001	100000011
10000006	100000061
10000007	100000072
10000011	100000111
10000012	100000121
10000016	100000161
10000020	100000201
10000025	100000251
10000027	100000271
10000039	100000391
10000041	100000411
10000042	100000421
10000043	100000431
10000044	100000441
10000049	100000491
10000052	100000521
10000053	100000531
10000055	100000551
10000057	100000571
10000058	100000581
10000061	100000611
10000062	100000621
10000063	100000631
10000064	100000641
10000067	100000671
10000068	100000681
10000070	100000701
10000071	100000711
10000076	100000761
10000078	100000781
10000079	100000791
10000080	100000801
10000081	100000811
10000082	100000821
10000085	100000851
10000086	100000861
10000090	100000902
10000094	100000941
10000096	100000961
10000097	100000971
10000098	100000982
10000129	100001291
10000155	100001551
10000165	100001651